FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
khacasablanca.top,31.187.74.113,730.4156250000233,32,13678750000,18332146803,0,joined,7,6,57,56,1,0,20,N/A,"Düsseldorf, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
subspacer.xyz,188.245.181.44,580.2081250000047,32,13512500000,15394995303,0,joined,6,6,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
retrogen.xyz,91.107.237.14,571.3811249999853,32,13512500000,16744527089,0,joined,9,9,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.noddex.com,157.180.39.151,598.0095830000064,32,13469299004,87949841995,0,joined,8,3,57,55,2,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.vnnode.com,95.217.107.69,572.5771670000104,32,13445901992,32771708345,0,joined,7,4,57,56,1,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arfor.us,65.21.14.45,603.3234999999986,20,13439093304,198405296599,0,joined,7,0,57,55,2,0,55,N/A,"Helsinki, FI",,agYcCFJtrMG6cqMuZfskIkFTGvUPddICmtQSBIoPdiA,[object Object],[object Object],
yukovskinode.online,188.245.63.191,623.9605419999862,32,13417500000,20643363483,0,joined,0,0,57,16,41,0,1,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
gatewaypie.com,69.124.94.88,690.2202919999836,32,13367714034,69813454272,0,joined,0,0,32,32,0,0,32,N/A,"Bloomingdale, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ario.dasamuka.xyz,147.79.102.235,537.2378750000207,32,13346250000,35488397793,0,joined,7,7,57,56,1,0,20,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.innode.tech,65.21.244.6,598.4812500000116,32,13329290817,21085930014,0,joined,6,3,57,56,1,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
aksamlan.xyz,5.161.202.120,309.4927500000049,32,13200000000,35925481244,0,joined,8,5,57,49,8,0,17,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
figmental.xyz,162.55.59.25,580.0660409999837,32,13067500000,20522795868,0,joined,6,6,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar-we-ave-ao.online,135.181.108.42,608.7902089999989,32,13041250000,10436411940,0,joined,4,2,57,56,1,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
d-ao.site,135.181.32.108,644.6743340000103,32,13040000000,29956048472,0,joined,5,4,57,55,2,0,20,N/A,", FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
aoshield.xyz,157.180.39.31,610.5581670000101,32,13020000000,15307872435,0,joined,5,3,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
bababum.online,95.111.247.101,541.1459170000162,32,12711250000,22760544930,0,joined,3,1,57,53,4,0,4,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
